Fold.IL.6.HSA	Fold.IL.6.UL	Fold.IL.6.Naive	Fold.IL.6.Nickel	Fold.Naive.Nickel	Fold HSA/Naive
19.19	11.19	13.96	-0.11	-0.94020671	-0.259072681
19.11	12.17	14.92	0.95	-0.877533107	-0.208600097
19	12.49	12.74	-0.56	-0.968020326	-0.312842633
19	11.4	13.39	0.13	-0.921672621	-0.280590561
18.99	12.68	16.89	-0.31	-0.961478027	-0.105282809
18.98	17.81	12.56	0.26	-0.907225182	-0.321324219
18.98	9.85	16.76	-0.16	-0.952850286	-0.111121244
18.96	17.24	12.83	0.24	-0.910704078	-0.306991988
18.88	11.03	13.51	0.22	-0.916146923	-0.27042189
18.86	11.23	16.37	0.26	-0.927687767	-0.125627347
18.85	15.13	16.84	-0.37	-0.964878045	-0.10124066
18.82	18.78	15.93	-0.13	-0.948669087	-0.145812265
18.81	15.06	14.44	1.51	-0.837717115	-0.220610678
18.79	22.41	15.73	0.52	-0.909204848	-0.154876677
18.78	10.58	12.98	-0.53	-0.966396933	-0.293051471
18.78	20.69	15.31	0.12	-0.931429479	-0.175180437
18.77	14.65	13.18	0.64	-0.884142282	-0.282467362
18.76	15.37	17.44	1.96	-0.839614495	-0.066611968
18.75	14.67	14.41	-0.33	-0.956431826	-0.219474634
18.72	12.85	19.51	-0.35	-0.968487617	0.040471688
18.71	10.63	13.07	-0.36	-0.954584124	-0.286174669
18.7	13.7	13.82	1.06	-0.861088809	-0.247810245
18.69	14.12	14.22	-0.33	-0.956242673	-0.227390901
18.66	14.06	13.47	-0.27	-0.949840461	-0.264222908
18.66	10.66	14.42	1.09	-0.864485478	-0.21547199
18.64	22.39	14.38	1.04	-0.867257862	-0.217086379
18.61	10.89	17.72	0.15	-0.93870192	-0.045154789
18.6	8.81	12.49	0.12	-0.916928979	-0.31191833
18.55	22.06	13.57	1.91	-0.800319728	-0.254842562
18.51	14.14	16.95	-0.23	-0.956935816	-0.079921403
18.51	24.23	13.2	-0.27	-0.948913937	-0.272255827
18.49	12.98	15.74	-0.27	-0.956280736	-0.141040196
18.46	11.07	14.72	0.38	-0.912329911	-0.192529919
18.4	14.13	18.21	0.09	-0.943457661	-0.009784301
18.4	10.51	11.88	-0.38	-0.951899395	-0.336006655
18.39	12.9	16.61	1.73	-0.84504256	-0.091555899
18.36	15.73	12.72	-0.59	-0.970395353	-0.291655769
18.34	19.5	16.9	-0.03	-0.945654544	-0.074558263
18.33	14.5	12.21	0.19	-0.909730434	-0.316562795
18.32	14.85	16.63	-0.67	-0.981330472	-0.087910072
18.29	9.37	15.18	-0.51	-0.9699351	-0.16104784
18.26	16.96	13.47	-0.18	-0.943317652	-0.248587915
18.24	9.51	13.69	-0.72	-0.980670563	-0.236217069
18.21	11.47	18.98	-0.66	-0.983007826	0.039650697
18.18	17.2	13.87	0.39	-0.906679882	-0.224676577
18.14	14.91	16	-0.57	-0.974501022	-0.111783967
18.13	13.36	12.55	-0.1	-0.933707052	-0.291751475
18.12	18.97	11.14	0.25	-0.896619692	-0.365141354
18.12	18.54	14.52	-0.07	-0.940187148	-0.188332737
18.11	18.57	15.32	1.22	-0.86387563	-0.145967567
18.11	11.19	14.79	-0.26	-0.952955381	-0.173952816
18.11	13.75	16	-0.68	-0.981288347	-0.110065521
18.08	21.76	18.51	0.7	-0.912699818	0.022627795
18.07	15.72	14.6	-0.53	-0.970190587	-0.181749972
18.04	20.61	20.41	-0.6	-0.981253936	0.124315714
18.04	11.76	16.14	-0.5	-0.97058341	-0.099645538
18.02	8.59	13.75	-0.24	-0.948233754	-0.224538363
17.97	16.2	14.34	-0.11	-0.942192109	-0.191266626
17.97	25.07	14.57	-0.02	-0.936988945	-0.179129398
17.94	12.73	16.04	0.04	-0.93907595	-0.099950668
17.93	14.85	19.06	-0.29	-0.964780256	0.059656153
17.93	13.5	16.56	0.51	-0.914256648	-0.072422766
17.92	19.78	11.19	0.71	-0.860150632	-0.355592895
17.92	12.54	16.06	1.01	-0.882057665	-0.098075753
17.85	13.66	14.21	0.44	-0.905120021	-0.19311863
17.85	13.75	14.58	0.77	-0.886093898	-0.173518995
17.83	15.25	16.28	0.32	-0.923797832	-0.082311129
17.82	9.13	10.79	-0.4	-0.949480432	-0.373585422
17.82	13.21	11.23	1.12	-0.826942258	-0.349839391
17.8	12.21	14.38	0.07	-0.930319279	-0.18210285
17.78	12.48	14.45	0.36	-0.911856636	-0.177478656
17.76	9.01	13.09	-0.49	-0.963934811	-0.248855869
17.75	12.6	19.72	-0.58	-0.979600319	0.104935166
17.72	15.51	12.56	1.84	-0.790849739	-0.275935011
17.68	9.46	13.35	0.16	-0.919205534	-0.231906787
17.67	20.77	13.23	1.13	-0.850362981	-0.238052948
17.64	23.18	15.18	-0.11	-0.944925146	-0.132231857
17.64	18.3	11.37	0.89	-0.847462207	-0.336417097
17.62	17.21	17.38	0.5	-0.918271471	-0.012881717
17.56	8.13	13.43	-0.06	-0.935216308	-0.222458843
17.56	20.66	13.83	3.12	-0.721962619	-0.201192294
17.54	10.47	11.86	-0.28	-0.944398755	-0.306072365
17.54	17.56	12.55	0.7	-0.874251299	-0.269096421
17.53	14.2	16.1	1.51	-0.853394477	-0.077170855
17.5	19.97	12.59	0.33	-0.90209066	-0.265328903
17.49	21.07	14.7	0.32	-0.915640426	-0.150879631
17.48	11.92	12.62	-0.57	-0.968619096	-0.263223399
